"BIC 1 component"	"BIC 2 components"	"BIC difference"	"LRT adj. p-val"
"1p"	19450.4455746068	19238.7168485243	211.728726082511	0
"1q"	19450.4455746068	19175.6324465531	274.813128053705	0
"2p"	19450.4455746068	19139.6161500878	310.829424519037	0
"2q"	19450.4455746068	19331.4846289868	118.960945620023	0
"3q"	19450.4455746068	19407.2832355583	43.1623390485729	0
"4q"	19450.4455746068	19280.8746272448	169.570947362048	0
"5q"	19450.4455746068	19361.0825872359	89.3629873709615	0
"6p"	19450.4455746068	19351.4140832974	99.0314913094735	0
"7q"	19450.4455746068	19204.448784829	245.996789777892	0
"9q"	19450.4455746068	19452.2189395576	-1.77336495073541	0.000188
"10q"	19450.4455746068	19113.1317923912	337.313782215671	0
"11q"	19450.4455746068	19325.8326329963	124.61294161051	0
"12q"	19450.4455746068	19018.5225589206	431.923015686243	0
"14q"	19450.4455746068	19370.3797558505	80.0658187562985	0
"15q"	19450.4455746068	19063.6945478556	386.751026751223	0
"17q"	19450.4455746068	18974.7481102037	475.697464403103	0
"19p"	19450.4455746068	19392.6885032282	57.7570713786336	0
"19q"	19450.4455746068	19240.4134631176	210.032111489199	0
