"BIC 1 component"	"BIC 2 components"	"BIC difference"	"LRT adj. p-val"
"1p"	20937.6406222073	20529.1459928747	408.494629332574	0
"1q"	20937.6406222073	20583.5590199175	354.081602289814	0
"2p"	20937.6406222073	20903.8003302817	33.8402919255677	0
"2q"	20937.6406222073	20862.8972072024	74.7434150048539	0
"3p"	20937.6406222073	20920.420400991	17.2202212162665	0
"3q"	20937.6406222073	20826.6319244342	111.008697773126	0
"4q"	20937.6406222073	20918.9123284235	18.7282937837554	0
"5q"	20937.6406222073	20812.3500956945	125.290526512788	0
"7q"	20937.6406222073	20830.0303576741	107.610264533145	0
"9q"	20937.6406222073	20700.2776339099	237.36298829742	0
"10q"	20937.6406222073	20881.3598560513	56.280766156	0
"11q"	20937.6406222073	20796.0456303258	141.594991881459	0
"12q"	20937.6406222073	20736.9480440067	200.692578200578	0
"14q"	20937.6406222073	20923.3840689198	14.2565532874651	0
"15q"	20937.6406222073	20861.9077121751	75.7329100321367	0
"17q"	20937.6406222073	20668.2526201958	269.388002011481	0
"19p"	20937.6406222073	20812.53503131	125.10559089723	0
"19q"	20937.6406222073	20868.8815128879	68.7591093194169	0
